Rk,Player,Age,Team,Pos,G,GS,Cmp%,Yds,TD
1,Tua Tagovailoa,25,MIA,QB,17,17,69.3,4624,29
2,Jared Goff,29,DET,QB,17,17,67.3,4575,30
3,Dak Prescott,30,DAL,QB,17,17,69.5,4516,36
4,Josh Allen,27,BUF,QB,17,17,66.5,4306,29
5,Brock Purdy,24,SFO,QB,16,16,69.4,4280,31
6,Patrick Mahomes,28,KAN,QB,16,16,67.2,4183,27
7,Jordan Love,25,GNB,QB,17,17,64.2,4159,32
8,C.J. Stroud,22,HOU,QB,15,15,63.9,4108,23
9,Baker Mayfield,28,TAM,QB,17,17,64.3,4044,28
10,Trevor Lawrence,24,JAX,QB,16,16,65.6,4016,21
11,Matthew Stafford,35,LAR,QB,15,15,62.6,3965,24
12,Sam Howell,23,WAS,QB,17,17,63.4,3946,21
13,Derek Carr,32,NOR,QB,17,17,68.4,3878,25
14,Jalen Hurts,25,PHI,QB,17,17,65.4,3858,23
15,Lamar Jackson,26,BAL,QB,16,16,67.2,3678,24
16,Geno Smith,33,SEA,QB,15,15,64.7,3624,20
17,Gardner Minshew II,27,IND,QB,17,13,62.2,3305,15
18,Justin Herbert,25,LAC,QB,13,13,65.1,3134,20
19,Russell Wilson,35,DEN,QB,15,15,66.4,3070,26
20,Bryce Young,22,CAR,QB,16,16,59.8,2877,11
21,Desmond Ridder,24,ATL,QB,15,13,64.2,2836,12
22,Justin Fields,24,CHI,QB,13,13,61.4,2562,16
23,Kirk Cousins,35,MIN,QB,8,8,69.5,2331,18
24,Joe Burrow,27,CIN,QB,10,10,66.8,2309,15
25,Zach Wilson,24,NYJ,QB,12,11,60.1,2271,8
26,Aidan O'Connell,25,LVR,QB,11,10,62.1,2218,12
27,Mac Jones,25,NWE,QB,11,11,64.9,2120,10
28,Kenny Pickett,25,PIT,QB,12,12,62,2070,6
29,Jake Browning,27,CIN,QB,9,7,70.4,1936,12
30,Will Levis,24,TEN,QB,9,9,58.4,1808,8
31,Kyler Murray,26,ARI,QB,8,8,65.7,1799,10
32,Joe Flacco,38,CLE,QB,5,5,60.3,1616,13
33,Ryan Tannehill,35,TEN,QB,10,8,64.8,1616,4
34,Joshua Dobbs,28,2TM,QB,13,12,62.8,2464,13
35,Joshua Dobbs,28,ARI,QB,8,8,62.8,1569,8
36,Joshua Dobbs,28,MIN,QB,5,4,62.9,895,5
37,Tyrod Taylor,34,NYG,QB,11,5,64.4,1341,5
38,Nick Mullens,28,MIN,QB,5,3,67.6,1306,7
39,Bailey Zappe,24,NWE,QB,10,6,59.9,1272,6
40,Jimmy Garoppolo,32,LVR,QB,7,6,65.1,1205,7
41,Easton Stick,28,LAC,QB,5,4,63.8,1129,3
42,Deshaun Watson,28,CLE,QB,6,6,61.4,1115,7
43,Tommy DeVito,25,NYG,QB,9,6,64,1101,8
44,Daniel Jones,26,NYG,QB,6,6,67.5,909,2
45,Taylor Heinicke,30,ATL,QB,5,4,54.4,890,5
46,Tyson Bagent,23,CHI,QB,5,4,65.7,859,3
47,Trevor Siemian,32,NYJ,QB,5,3,56.2,724,2
48,Mason Rudolph,28,PIT,QB,4,3,74.3,719,3
49,P.J. Walker,28,CLE,QB,6,2,48.6,674,1
50,Mitchell Trubisky,29,PIT,QB,5,2,62.6,632,4
51,Anthony Richardson,21,IND,QB,4,4,59.5,577,3
52,Drew Lock,27,SEA,QB,4,2,63.2,543,3
53,Jarrett Stidham,27,DEN,QB,3,2,60.6,496,2
54,Dorian Thompson-Robinson,24,CLE,QB,8,3,53.6,440,1
55,Andy Dalton,36,CAR,QB,3,1,58.6,361,2
56,Tim Boyle,29,NYJ,QB,3,2,62.3,360,1
57,C.J. Beathard,30,JAX,QB,7,1,75.5,349,1
58,Sam Darnold,26,SFO,QB,10,1,60.9,297,2
59,Case Keenum,35,HOU,QB,2,2,64.2,291,1
60,Jameis Winston,29,NOR,QB,7,0,53.2,264,2
61,Brian Hoyer,38,LVR,QB,3,1,54.8,231,0
62,Jacoby Brissett,31,WAS,QB,3,0,78.3,224,3
63,Tyler Huntley,25,BAL,QB,5,1,56.8,203,3
64,Blaine Gabbert,34,KAN,QB,2,1,51.4,185,0
65,Davis Mills,25,HOU,QB,6,0,46.2,173,2
66,Brett Rypien,27,LAR,QB,2,1,47.4,172,0
67,Jaren Hall,25,MIN,QB,3,2,65,168,0
68,Jeff Driskel,30,CLE,QB,1,1,50,166,2
69,Marcus Mariota,30,PHI,QB,3,0,65.2,164,1
70,Carson Wentz,31,LAR,QB,2,1,70.8,163,2
71,Cooper Rush,30,DAL,QB,7,0,75,144,0
72,Taysom Hill,33,NOR,QB,16,7,54.5,83,1
73,Mike White,28,MIA,QB,6,0,83.3,74,1
74,Malik Willis,24,TEN,QB,3,0,80,74,0
75,Clayton Tune,24,ARI,QB,7,1,57.1,62,0
