Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Y/A
1,Derrick Henry,TEN,29,RB,17,17,280,1167,12,4.2
2,Christian McCaffrey,SFO,27,RB,16,16,272,1459,14,5.4
3,Rachaad White,TAM,24,RB,17,17,272,990,6,3.6
4,Travis Etienne,JAX,24,RB,17,17,267,1008,11,3.8
5,Joe Mixon,CIN,27,RB,17,17,257,1034,9,4
6,Najee Harris,PIT,25,RB,17,17,255,1035,8,4.1
7,Tony Pollard,DAL,26,RB,17,17,252,1005,6,4
8,Saquon Barkley,NYG,26,RB,14,14,247,962,6,3.9
9,Chuba Hubbard,CAR,24,RB,17,12,238,902,5,3.8
10,James Cook,BUF,24,RB,17,13,237,1122,2,4.7
11,Josh Jacobs,LVR,25,RB,13,13,233,805,6,3.5
12,D'Andre Swift,PHI,24,RB,16,15,229,1049,5,4.6
13,Kyren Williams,LAR,23,RB,12,11,228,1144,12,5
14,Breece Hall,NYJ,22,RB,17,16,223,994,5,4.5
15,David Montgomery,DET,26,RB,14,14,219,1015,13,4.6
16,Kenneth Walker III,SEA,23,RB,15,15,219,905,8,4.1
17,Javonte Williams,DEN,23,RB,16,13,217,774,3,3.6
18,Devin Singletary,HOU,26,RB,17,10,216,898,4,4.2
19,Bijan Robinson,ATL,21,RB,17,16,214,976,4,4.6
20,Raheem Mostert,MIA,31,RB,15,15,209,1012,18,4.8
21,James Conner,ARI,28,RB,13,13,208,1040,7,5
22,Isiah Pacheco,KAN,24,RB,14,13,205,935,7,4.6
23,Jerome Ford,CLE,24,RB,17,12,204,813,4,4
24,Gus Edwards,BAL,28,RB,17,9,198,810,13,4.1
25,Tyler Allgeier,ATL,23,RB,17,3,186,683,4,3.7
26,Ezekiel Elliott,NWE,28,RB,17,5,184,642,3,3.5
27,Zack Moss,IND,26,RB,14,8,183,794,5,4.3
28,Jahmyr Gibbs,DET,21,RB,15,3,182,945,10,5.2
29,Alvin Kamara,NOR,28,RB,13,12,180,694,5,3.9
30,Alexander Mattison,MIN,25,RB,16,13,180,700,0,3.9
31,Austin Ekeler,LAC,28,RB,14,14,179,628,5,3.5
32,AJ Dillon,GNB,25,RB,15,6,178,613,2,3.4
33,Brian Robinson Jr.,WAS,24,RB,15,15,178,733,5,4.1
34,Jonathan Taylor,IND,24,RB,10,7,169,741,7,4.4
35,Rhamondre Stevenson,NWE,25,RB,12,12,156,619,4,4
36,Jaylen Warren,PIT,25,RB,17,0,149,784,4,5.3
37,Dameon Pierce,HOU,23,RB,14,7,145,416,2,2.9
38,Aaron Jones,GNB,29,RB,11,11,142,656,2,4.6
39,Kareem Hunt,CLE,28,RB,15,2,135,411,9,3
40,Khalil Herbert,CHI,25,RB,12,9,132,611,2,4.6
41,Miles Sanders,CAR,26,RB,16,5,129,432,1,3.3
42,D'Onta Foreman,CHI,27,RB,9,8,109,425,4,3.9
43,Zach Charbonnet,SEA,22,RB,16,2,108,462,1,4.3
44,Joshua Kelley,LAC,26,RB,17,3,107,405,2,3.8
45,Jamaal Williams,NOR,28,RB,13,4,106,306,1,2.9
46,Zamir White,LVR,24,RB,17,4,104,451,1,4.3
47,De'Von Achane,MIA,22,RB,11,4,103,800,8,7.8
48,Ty Chandler,MIN,25,RB,17,4,102,461,3,4.5
49,Tyjae Spears,TEN,22,RB,17,1,100,453,2,4.5
50,Rico Dowdle,DAL,25,RB,16,0,89,361,2,4.1
51,Kenneth Gainwell,PHI,24,RB,16,2,84,364,2,4.3
52,Justice Hill,BAL,26,RB,16,5,84,387,3,4.6
53,Roschon Johnson,CHI,22,RB,15,0,81,352,2,4.3
54,Latavius Murray,BUF,33,RB,16,4,79,300,4,3.8
55,Royce Freeman,LAR,27,RB,14,0,77,319,2,4.1
56,Jaleel McLaughlin,DEN,23,RB,17,3,76,410,1,5.4
57,Elijah Mitchell,SFO,25,RB,11,1,75,281,2,3.7
58,Clyde Edwards-Helaire,KAN,24,RB,15,3,70,223,1,3.2
59,Dalvin Cook,2TM,28,RB,15,1,67,214,0,3.2
60,Antonio Gibson,WAS,25,RB,16,2,65,265,1,4.1
61,Pierre Strong,CLE,25,RB,17,1,63,291,1,4.6
62,Cam Akers,2TM,24,RB,7,1,60,167,2,2.8
63,Emari Demercado,ARI,24,RB,14,2,58,284,2,4.9
64,Matt Breida,NYG,28,RB,17,4,55,151,1,2.7
65,Samaje Perine,DEN,28,RB,17,1,53,238,1,4.5
66,Chris Rodriguez,WAS,23,RB,13,0,51,247,2,4.8
67,Tank Bigsby,JAX,22,RB,17,0,50,132,2,2.6
68,Cordarrelle Patterson,ATL,32,RB,14,0,50,181,0,3.6
69,Chase Edmonds,TAM,27,RB,13,0,49,176,0,3.6
70,Keaton Mitchell,BAL,21,RB,8,2,47,396,2,8.4
71,Darrell Henderson,LAR,26,RB,4,4,46,112,2,2.4
72,Chase Brown,CIN,23,RB,12,0,44,179,0,4.1
73,D'Ernest Johnson,JAX,27,RB,17,0,41,108,0,2.6
74,Kendre Miller,NOR,21,RB,8,0,41,156,1,3.8
75,Craig Reynolds,DET,27,RB,17,0,41,179,1,4.4
76,Jeff Wilson,MIA,28,RB,10,0,41,188,0,4.6
77,Jordan Mason,SFO,24,RB,17,0,40,206,3,5.2
78,Khari Blasingame,CHI,27,FB,16,2,8,26,0,3.3
79,Michael Burton,DEN,31,FB,17,3,7,9,0,1.3
80,Andrew Beck,HOU,27,FB,15,12,5,3,1,0.6
